Nacionalitat,Dorsal,Nom,ID del jugador,Especialitat,Lesions,Amonestacions,Edat,Dies,Dies restants per poder ser promocionat,Edat a la promoció,Dies al moment de promocionar,Porteria,Porteria,Defensa,Defensa,Creativitat,Creativitat,Extrem,Extrem,Passades,Passades,Anotació,Anotació,Pilota aturada,Pilota aturada,Data de l'últim partit,Qualificació a l'últim partit,Posició a l'últim partit,Categoria
Espanya,,Vicent Ferrer,950000001,,,,15,19,205,17,0,,,,,,,,,,,,,,,14-07-2026,3,DV,
Espanya,,Joan Bataller,950000002,,,,15,25,199,17,0,,,,,,,,,,,,,,,14-07-2026,4,ED,
Espanya,,Pau Alcàsser,950000003,,,,15,52,172,17,0,,,,,,,4,/?,?,/4,,,,,,,,
Espanya,,Marc Montaner,950000004,,,,15,66,158,17,0,,,,,,,,,,,,,,,14-07-2026,3,DV,
Espanya,,Nel·lo Sanchis,950000005,,,,15,77,147,17,0,,,,,2,/2,,,,,,,,,14-07-2026,2,EE,
Espanya,,Ximo Colomer,950000006,,,,15,99,125,17,0,,,,,,,5,/?,?,/5,,,,,14-07-2026,4,MC,
Espanya,,Toni Ripoll,950000007,,,,15,101,123,17,0,,,,,,,,,,,,,,,14-07-2026,2,MC,
Espanya,,Andreu Vidal,950000008,,,,15,106,118,17,0,,,,,,,,,,,,,,,14-07-2026,3,MC,
Espanya,,Guillem Escrivà,950000009,Imprevisible,,,16,15,99,17,2,,,,,,,,,,,,,,,14-07-2026,0.5,PO,
Espanya,,Enric Tormo,950000010,,,,16,16,99,17,3,,,,,,,,,,,,,,,14-07-2026,4,DV,
